indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
Covariate violence/conflict shock,0.050000000000000003,0.070000000000000007,0.01,0.070000000000000007,0.02,0.050000000000000003,0.040000000000000001,0.050000000000000003,0.040000000000000001,0.080000000000000002,0.040000000000000001,0.040000000000000001,0.029999999999999999
Cultivated area (ha),9090613.2400000002,53028771.380000003,1.51,10777977.189999999,2.02,10358922.32,2.1000000000000001,10525584.800000001,3.1000000000000001,11.23,2.6899999999999999,57885743.880000003,1.9399999999999999
Days with an outage (last 7),2.3700000000000001,3,2.3199999999999998,4.0700000000000003,2.3799999999999999,2.3599999999999999,2.1899999999999999,2.3900000000000001,7,2.4700000000000002,2,2.23,2.2600000000000002
Durable floor materials,0.57000000000000006,0.33000000000000002,0.94000000000000006,0.31,0.73999999999999999,0.54000000000000004,0.52000000000000002,0.57999999999999996,0.28999999999999998,0.46000000000000002,0.57999999999999996,0.70999999999999996,0.83999999999999997
Durable roof materials,0.93000000000000005,0.71999999999999997,0.98999999999999999,0.88,0.95999999999999996,0.92000000000000004,0.90000000000000002,0.93000000000000005,0.91000000000000003,0.92000000000000004,0.92000000000000004,0.93000000000000005,0.96999999999999997
Durable wall materials,0.32000000000000001,0.26000000000000001,0.42999999999999999,0.25,0.35999999999999999,0.32000000000000001,0.31,0.33000000000000002,0.28999999999999998,0.26000000000000001,0.32000000000000001,0.35000000000000003,0.41000000000000003
"Employed (activ12m, 15–64)",0.68000000000000005,0.81000000000000005,0.51000000000000001,0.83000000000000007,0.65000000000000002,0.71999999999999997,0.59999999999999998,0.83999999999999997,0.78000000000000003,0.75,0.68000000000000005,0.62,0.59999999999999998
Employed in agriculture (% of employed),0.63,0.83000000000000007,0.17000000000000001,0.88,0.68000000000000005,0.57999999999999996,0.66000000000000003,0.57999999999999996,0.87,0.77000000000000002,0.67000000000000004,0.52000000000000002,0.31
Employed in industry (% of employed),0.11,0.050000000000000003,0.23000000000000001,0.040000000000000001,0.070000000000000007,0.14999999999999999,0.11,0.11,0.040000000000000001,0.080000000000000002,0.11,0.14000000000000001,0.17999999999999999
Employed in services (% of employed),0.26000000000000001,0.12,0.59999999999999998,0.080000000000000002,0.25,0.27000000000000002,0.23000000000000001,0.31,0.089999999999999997,0.14999999999999999,0.23000000000000001,0.33000000000000002,0.51000000000000001
Exposed to any shock (past 3 years),0.89000000000000001,0.91000000000000003,0.88,0.91000000000000003,0.91000000000000003,0.89000000000000001,0.89000000000000001,0.89000000000000001,0.90000000000000002,0.91000000000000003,0.90000000000000002,0.88,0.88
Food consumption share,0.41999999999999998,0.5,0.34000000000000002,0.47000000000000003,0.39000000000000001,0.41999999999999998,0.41999999999999998,0.41000000000000003,0.47000000000000003,0.44,0.41999999999999998,0.40000000000000002,0.35999999999999999
HE age (years),6.0499999999999998,5.7800000000000002,5.9000000000000004,6.2700000000000005,6.1200000000000001,6.0200000000000005,4.29,6.3300000000000001,4.54,7.0700000000000003,5.79,6.5099999999999998,6.0700000000000003
HE buys from firms/state,0.16,0.040000000000000001,0.20000000000000001,0.080000000000000002,0.27000000000000002,0.12,0.17999999999999999,0.14999999999999999,0.089999999999999997,0.12,0.070000000000000007,0.23000000000000001,0.20999999999999999
HE capital stock (FCFA),21904.139999999999,60437.860000000001,14897.92,37492.440000000002,4538.8800000000001,27273.110000000001,19749.09,22252.420000000002,66105.910000000003,12554.800000000001,11197.09,11714.120000000001,20794.389999999999
HE costs (FCFA),3456.3099999999999,1456.6800000000001,5596.3199999999997,1403.8299999999999,4606.5799999999999,3156.6300000000001,4343.6199999999999,3305.04,853.26999999999998,2710.5599999999999,3156.02,3272.2400000000002,6367.54
HE has any credit access,0.28000000000000003,0.28000000000000003,0.29999999999999999,0.25,0.39000000000000001,0.25,0.26000000000000001,0.28999999999999998,0.27000000000000002,0.27000000000000002,0.19,0.35999999999999999,0.31
HE has electricity,0.71999999999999997,0,0.77000000000000002,0,1,0.69000000000000006,1,0.70999999999999996,,1,0,1,0.68000000000000005
HE has external (non-HH) employees,1,1,1,1,1,1,1,1,1,1,1,1,1
HE has formal credit access,0.029999999999999999,0.050000000000000003,0.02,0.050000000000000003,0.02,0.029999999999999999,0,0.029999999999999999,0.01,0.040000000000000001,0.029999999999999999,0.029999999999999999,0.029999999999999999
HE has formal premises,0.040000000000000001,0.040000000000000001,0.050000000000000003,0.02,0.02,0.050000000000000003,0.01,0.050000000000000003,0,0.040000000000000001,0.02,0.050000000000000003,0.070000000000000007
HE has informal credit access,0.26000000000000001,0.23000000000000001,0.28999999999999998,0.20000000000000001,0.38,0.22,0.26000000000000001,0.26000000000000001,0.26000000000000001,0.26000000000000001,0.16,0.34000000000000002,0.28000000000000003
