indicator,estimateDAKAR,estimateDIOURBEL,estimateFATICK,estimateKAFFRINE,estimateKAOLACK,estimateKEDOUGOU,estimateKOLDA,estimateLOUGA,estimateMATAM,estimateSAINT_LOUIS,estimateSEDHIOU,estimateTAMBACOUNDA,estimateTHIES,estimateZIGUINCHOR
HH has 1 HE,0.55000000000000004,0.41999999999999998,0.57999999999999996,0.58999999999999997,0.29999999999999999,0.53000000000000003,0.47000000000000003,0.63,0.42999999999999999,0.37,0.57999999999999996,0.48999999999999999,0.63,0.58999999999999997
HH has 2 HE,0,0.029999999999999999,0.070000000000000007,0.16,0.12,0.27000000000000002,0.02,0.070000000000000007,0.11,0,0.11,0.02,0.040000000000000001,0.17000000000000001
HH has 3 HE,0.01,0,0.17999999999999999,0,0,0,0,0.029999999999999999,0.01,0,0.029999999999999999,0.050000000000000003,0.050000000000000003,0.050000000000000003
HH has 4+ HE,0.80000000000000004,1,0.97999999999999998,0.96999999999999997,0.84999999999999998,1,1,0.94000000000000006,0.88,0.90000000000000002,1,1,0.95000000000000007,0.84999999999999998
HH has internet access,0,0,,,0,,,0,0,0,0,0,0,0
HH has non-agric enterprise owner,0.64000000000000001,0.70999999999999996,0.55000000000000004,0.37,0.60999999999999999,0.41000000000000003,0.45000000000000001,0.57000000000000006,0.56000000000000005,0.54000000000000004,0.42999999999999999,0.45000000000000001,0.64000000000000001,0.58999999999999997
HH owns a non-agric enterprise,0.94000000000000006,1,1,0.98999999999999999,0.88,1,1,0.96999999999999997,0.94000000000000006,0.90000000000000002,1,1,1,1
HH owns any livestock,0.19,0.47000000000000003,0.79000000000000004,0.79000000000000004,0.65000000000000002,0.41999999999999998,0.58999999999999997,0.76000000000000001,0.82000000000000006,0.62,0.44,0.66000000000000003,0.46000000000000002,0.44
Has health insurance/coverage (couvmal),0.050000000000000003,0,0.02,0,0.01,0.01,0.01,0.01,0,0.02,0,0,0.01,0.01
Idiosyncratic economic shock,0.10000000000000001,0.28000000000000003,0.11,0.20000000000000001,0.11,0.089999999999999997,0.13,0.14000000000000001,0.19,0.17999999999999999,0.10000000000000001,0.10000000000000001,0.14999999999999999,0.12
Main HE owner is female,0.37,0.64000000000000001,0.68000000000000005,0.60999999999999999,0.79000000000000004,0.90000000000000002,0.78000000000000003,0.72999999999999998,0.68000000000000005,0.72999999999999998,0.75,0.62,0.73999999999999999,0.76000000000000001
