indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
Number poor $3.00/day (millions),3.1299999999999999,0.02,0.38,2.73,0.40000000000000002,2.73,0.25,2.8799999999999999,3.04,0.089999999999999997,0,0,0
Number poor $4.20/day (millions),6.5200000000000005,0.13,1.1899999999999999,5.2000000000000002,1.03,5.4900000000000002,0.42999999999999999,6.0899999999999999,3.5,2.8000000000000003,0.23000000000000001,0,0
Own-production food share (% total cons.),0.040000000000000001,0,0.01,0.070000000000000007,0.01,0.050000000000000003,0.040000000000000001,0.040000000000000001,0.089999999999999997,0.050000000000000003,0.029999999999999999,0.02,0.01
Owns ceiling fan,0.029999999999999999,0.029999999999999999,0.02,0.040000000000000001,0.02,0.040000000000000001,0.02,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.02,0.01,0.070000000000000007
Owns wall AC/split,0.059999999999999998,0.02,0.050000000000000003,0.080000000000000002,0.050000000000000003,0.059999999999999998,0.01,0.059999999999999998,0.029999999999999999,0.059999999999999998,0,0.059999999999999998,0.14000000000000001
Owns water heater,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.01,0.029999999999999999,0.01,0.029999999999999999,0.01,0,0,0.070000000000000007,0.040000000000000001
Poor at $3.00/day (2021 PPP),0.17999999999999999,0,0.080000000000000002,0.29999999999999999,0.089999999999999997,0.20999999999999999,0.20999999999999999,0.17999999999999999,0.87,0.02,0,0,0
Poor at $4.20/day (2021 PPP),0.37,0.029999999999999999,0.27000000000000002,0.57000000000000006,0.23000000000000001,0.41999999999999998,0.35999999999999999,0.37,1,0.80000000000000004,0.059999999999999998,0,0
Prepaid meter (among grid-connected),0.41000000000000003,0.48999999999999999,0.41000000000000003,0.38,0.35999999999999999,0.41999999999999998,0.35000000000000003,0.41000000000000003,0.37,0.44,0.41000000000000003,0.37,0.47999999999999998
Primary cooking fuel biomass (wood/charcoal),0.23000000000000001,0.26000000000000001,0.20000000000000001,0.23000000000000001,0.20999999999999999,0.23999999999999999,0.17000000000000001,0.23000000000000001,0.16,0.31,0.13,0.34000000000000002,0.17999999999999999
